Id,date,boil_current_level
175,1423282246.90235,1224.0
176,1423282247.93787,1226.0
177,1423282249.10662,1222.0
178,1423282250.19488,1222.0
179,1423282251.23265,1224.0
180,1423282252.44793,1223.0
181,1423282253.81551,1226.0
182,1423282254.85091,1224.0
183,1423282256.01901,1224.0
184,1423282257.33907,1224.0
185,1423282258.37665,1228.0
186,1423282259.59285,1224.0
187,1423282260.96168,1225.0
188,1423282262.32833,1223.0
189,1423282263.36609,1226.0
190,1423282264.40145,1225.0
191,1423282265.51931,1225.0
192,1423282267.28047,1224.0
193,1423282268.31746,1224.0
194,1423282269.68493,1226.0
195,1423282270.73894,1226.0
196,1423282271.77538,1224.0
197,1423282272.94064,1226.0
198,1423282274.1568,1224.0
199,1423282275.1933,1228.0
200,1423282276.56036,1224.0
201,1423282277.59645,1224.0
202,1423282278.63273,1224.0
203,1423282279.90148,1225.0
204,1423282281.06867,1224.0
205,1423282282.10347,1226.0
206,1423282283.19489,1224.0
207,1423282284.55934,1228.0
208,1423282285.65835,1222.0
209,1423282286.87325,1227.0
210,1423282288.09195,1222.0
211,1423282289.12804,1224.0
212,1423282290.35488,1228.0
213,1423282291.56929,1225.0
214,1423282292.83495,1223.0
215,1423282294.19842,1224.0
216,1423282295.41363,1226.0
217,1423282296.44851,1227.0
218,1423282297.6649,1224.0
219,1423282298.70329,1225.0
220,1423282299.91881,1226.0
221,1423282300.95752,1226.0
222,1423282301.99251,1223.0
223,1423282303.36342,1225.0
224,1423282305.63059,1224.0
225,1423282306.65851,1226.0
226,1423282307.69482,1224.0
227,1423282308.95926,1224.0
228,1423282310.32739,1222.0
229,1423282311.40184,1224.0
230,1423282312.43709,1228.0
231,1423282313.70155,1225.0
232,1423282315.06287,1223.0
233,1423282316.39931,1227.0
234,1423282317.51387,1224.0
235,1423282319.29816,1226.0
236,1423282320.663,1222.0
237,1423282321.69858,1224.0
238,1423282323.06495,1226.0
239,1423282324.43061,1225.0
240,1423282325.83842,1225.0
241,1423282327.10264,1224.0
242,1423282328.13896,1226.0
243,1423282329.51196,1228.0
244,1423282330.54792,1224.0
245,1423282331.76724,1225.0
246,1423282333.13488,1222.0
247,1423282334.17095,1227.0
248,1423282335.44135,1226.0
249,1423282336.47013,1226.0
250,1423282337.63488,1224.0
251,1423282338.99951,1225.0
252,1423282340.02935,1226.0
253,1423282341.39524,1227.0
254,1423282342.45393,1222.0
255,1423282343.82004,1224.0
256,1423282345.25454,1226.0
257,1423282346.28979,1225.0
258,1423282347.75491,1226.0
259,1423282349.11974,1225.0
260,1423282350.15435,1223.0
261,1423282351.3699,1226.0
262,1423282352.40517,1222.0
263,1423282353.56969,1225.0
264,1423282354.68486,1224.0
265,1423282355.72001,1226.0
266,1423282357.08486,1225.0
267,1423282358.12916,1225.0
268,1423282359.16378,1224.0
269,1423282360.53158,1228.0
270,1423282361.56863,1226.0
271,1423282362.83416,1227.0
272,1423282364.20756,1224.0
273,1423282365.24286,1225.0
274,1423282366.284,1226.0
275,1423282367.50105,1226.0
276,1423282368.53617,1224.0
277,1423282370.00099,1225.0
278,1423282371.04118,1224.0
279,1423282372.25489,1226.0
280,1423282373.52975,1222.0
281,1423282374.7797,1227.0
282,1423282375.84812,1222.0
283,1423282376.88403,1227.0
284,1423282377.99842,1226.0
285,1423282379.13801,1225.0
286,1423282380.17268,1224.0
287,1423282381.54487,1226.0
288,1423282382.58095,1226.0
289,1423282383.61602,1227.0
290,1423282384.88091,1224.0
291,1423282385.91676,1225.0
292,1423282387.13141,1225.0
293,1423282388.49816,1226.0
294,1423282389.53346,1224.0
295,1423282390.79764,1225.0
296,1423282391.8334,1223.0
297,1423282392.95203,1227.0
298,1423282393.99035,1224.0
299,1423282395.02401,1225.0
300,1423282396.29211,1224.0
301,1423282398.85001,1224.0
302,1423282399.90491,1226.0
303,1423282400.93957,1225.0
304,1423282402.07887,1223.0
305,1423282403.11365,1227.0
306,1423282404.20422,1224.0
307,1423282405.50494,1228.0
308,1423282406.87217,1224.0
309,1423282408.08768,1224.0
310,1423282409.20324,1224.0
311,1423282410.23777,1228.0
312,1423282411.50702,1224.0
313,1423282412.77134,1225.0
314,1423282414.13715,1223.0
315,1423282416.22419,1224.0
316,1423282417.54615,1225.0
317,1423282418.75955,1223.0
318,1423282420.1249,1224.0
319,1423282421.16156,1226.0
320,1423282422.19678,1228.0
321,1423282423.41143,1224.0
322,1423282432.38105,1222.0
323,1423282434.3145,1224.0
324,1423282435.37239,1222.0
325,1423282436.40663,1225.0
326,1423282437.57144,1226.0
327,1423282438.93813,1226.0
328,1423282439.97322,1226.0
329,1423282441.43899,1226.0
330,1423282442.47425,1223.0
331,1423282443.9975,1226.0
332,1423282445.46473,1225.0
333,1423282446.49885,1225.0
334,1423282447.58776,1223.0
335,1423282448.80498,1225.0
336,1423282449.83984,1226.0
337,1423282451.10468,1226.0
338,1423282452.37336,1226.0
339,1423282453.40888,1227.0
340,1423282454.8737,1224.0
341,1423282456.23772,1225.0
342,1423282457.27274,1224.0
343,1423282458.38779,1225.0
344,1423282459.75903,1225.0
345,1423282460.79408,1228.0
346,1423282461.93322,1222.0
347,1423282463.14796,1224.0
348,1423282464.18316,1223.0
349,1423282465.64912,1226.0
350,1423282466.86396,1225.0
351,1423282467.89859,1226.0
352,1423282469.11494,1226.0
353,1423282470.37956,1225.0
354,1423282471.41414,1224.0
355,1423282472.77888,1228.0
356,1423282474.29286,1226.0
357,1423282475.3293,1228.0
358,1423282476.3983,1224.0
359,1423282477.61291,1225.0
360,1423282478.64787,1222.0
361,1423282479.70316,1224.0
362,1423282480.9177,1228.0
363,1423282481.95203,1225.0
364,1423282483.11659,1223.0
365,1423282484.28015,1227.0
366,1423282485.31428,1224.0
367,1423282486.88465,1226.0
368,1423282489.0249,1224.0
369,1423282490.38989,1224.0
370,1423282491.48008,1224.0
371,1423282492.84778,1228.0
372,1423282493.96346,1224.0
373,1423282494.99913,1226.0
374,1423282496.46831,1223.0
375,1423282497.6816,1227.0
376,1423282498.71666,1224.0
377,1423282499.85423,1225.0
378,1423282501.22237,1224.0
379,1423282502.25666,1225.0
380,1423282503.82459,1226.0
381,1423282505.09044,1225.0
382,1423282506.17776,1224.0
383,1423282507.24526,1227.0
384,1423282508.54788,1224.0
385,1423282509.58185,1228.0
386,1423282510.65071,1224.0
387,1423282511.81423,1225.0
388,1423282512.84995,1225.0
389,1423282513.98782,1225.0
390,1423282515.10652,1223.0
391,1423282516.14057,1225.0
392,1423282517.20939,1223.0
393,1423282518.67444,1227.0
394,1423282519.70975,1224.0
395,1423282520.92344,1224.0
396,1423282522.38999,1224.0
397,1423282523.42487,1225.0
398,1423282524.69007,1226.0
399,1423282541.22021,1222.0
400,1423282542.19986,1227.0
401,1423282543.26417,1224.0
402,1423282544.02913,1225.0
403,1423282544.89214,1224.0
404,1423282545.42888,1225.0
405,1423282546.19252,1223.0
406,1423282547.25747,1224.0
407,1423282560.9481,1226.0
408,1423282561.49524,1224.0
409,1423282562.00149,1226.0
410,1423282562.68415,1224.0
411,1423282563.11856,1225.0
412,1423282563.66,1224.0
413,1423282564.55022,1227.0
414,1423282565.01417,1225.0
